container_id,album_title,unique_users,consumption_time,avg_time_per_user,score_poplite,score_hidden_gem,genres,epochs,is_atmos
28948678228,The Trap (Original Motion Picture Soundtrack),126,20.66111111,0.1639770723015873,0.5493836929997999,0.0146082386628285,,,False
28947949633,Treasures Of Bel Canto,122,62.55277778,0.5127276867213115,1.7040280019302605,0.0464201836339686,Opera,,False
28948769087,Beethoven: The Piano Concertos,121,116.3222222,0.9613406793388428,3.188406329072308,0.087394607212622,Concerto,Classical,False
28948777334,"Hough: Piano Concerto, Sonatina & Partita",121,43.31111111,0.3579430670247934,1.1871628496302742,0.0325402788204357,Concerto,Contemporary,True
28947943464,Verdi: La Traviata,120,80.075,0.6672916666666667,2.208569207422695,0.0609151163780919,Opera,,True
28947590781,Maria,120,43.84444444,0.3653703703333333,1.2092849192224684,0.0333535989459305,Opera,Romantic,True
28948670369,Boulez A-Z: Stravinsky - Varèse,119,47.85277778,0.4021241830252101,1.3281494046251654,0.0368626634197907,Orchestral,20th Century,True
28948665433,Schumann,116,63.75555556,0.549616858275862,1.8037425177810071,0.0510306441826724,Chamber Music | Concerto,,True
28948680252,"Liszt: Songs, Vol. III ""Un cycle imaginaire""",116,59.27222222,0.5109674329310345,1.676902136645395,0.0474421351277942,Song,Romantic,False
28947638780,"Arvo Pärt: Tabula Rasa, Fratres, Cantus in memoriam Benjamin Britten",116,51.67777778,0.4454980843103448,1.4620436476081204,0.0413634587116191,Chamber Music | Concerto,,False
28948661633,Karajan: Wagner - Wolf-Ferrari,115,96.06666667,0.8353623188695652,2.735579506104414,0.0778979378968647,Opera,Romantic,False
28947948766,"Beethoven: Symphony No.6 ""Pastoral"" / Schubert: Symphony No.5",115,75.73055556,0.6585265700869565,2.1564915590074536,0.0614079192960088,Orchestral,Classical,False
28948382446,Beethoven: Triple Concerto & Symphony No. 7 (Live),115,68.66388889,0.5970772946956522,1.955262254514889,0.0556777448194814,Orchestral | Concerto,Classical,True
28943043328,The Three Tenors - In Concert - Rome 1990,115,45.61666667,0.3966666666956522,1.2989731277750003,0.0369893573962353,Opera | Song,Romantic | 20th Century,True
28948640584,Abbado A-Z: Schumann – Tchaikovsky,112,148.0833333,1.32217261875,4.301229984354665,0.1249335692682684,Orchestral | Concerto,20th Century | Romantic,True
